id,yr,monthnum,monthname,monthend,cregion,cdistrict,pregion,pdistrict,creason,tpeople,yrmonthnam,yrmonthnum,pvalue,adjustments,changedvalue,comments
1,2016,1,Jan,31/01/2016,Awdal,Borama,Bakool,Tayeeglow,Drought related,7,Jan '16,2016-01,,,,
2,2016,1,Jan,31/01/2016,Awdal,Borama,Banadir,Banadir,Drought related,7,Jan '16,2016-01,,,,
3,2016,1,Jan,31/01/2016,Awdal,Borama,Banadir,Banadir,Drought related,8,Jan '16,2016-01,,,,
4,2016,1,Jan,31/01/2016,Awdal,Borama,Banadir,Banadir,Drought related,5,Jan '16,2016-01,,,,
5,2016,1,Jan,31/01/2016,Awdal,Borama,Banadir,Banadir,Drought related,6,Jan '16,2016-01,,,,
6,2016,1,Jan,31/01/2016,Awdal,Borama,Bay,Baidoa,Drought related,6,Jan '16,2016-01,,,,
7,2016,1,Jan,31/01/2016,Awdal,Borama,Bay,Diinsoor,Drought related,7,Jan '16,2016-01,,,,
8,2016,1,Jan,31/01/2016,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,6,Jan '16,2016-01,,,,
9,2016,1,Jan,31/01/2016,Awdal,Borama,Galgaduud,Cadaado,Drought related,8,Jan '16,2016-01,,,,
10,2016,1,Jan,31/01/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,6,Jan '16,2016-01,,,,
11,2016,1,Jan,31/01/2016,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,8,Jan '16,2016-01,,,,
12,2016,1,Jan,31/01/2016,Awdal,Borama,Middle Juba,Jilib,Drought related,9,Jan '16,2016-01,,,,
13,2016,1,Jan,31/01/2016,Awdal,Borama,Nugaal,Burtinle,Drought related,6,Jan '16,2016-01,,,,
14,2016,1,Jan,31/01/2016,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,5238,Jan '16,2016-01,,,,
15,2016,1,Jan,31/01/2016,Banadir,Banadir,Banadir,Banadir,Other,11,Jan '16,2016-01,,,,
16,2016,1,Jan,31/01/2016,Banadir,Banadir,Banadir,Banadir,Other,23,Jan '16,2016-01,,,,
