id,yyyy,mm,pcode,governorate,gender,reach,reach_total,target_total,indicator,indicator_group,partner0,partnertype0,partner1,partnertype1,partner2,partnertype2,partner3,partnertype3,partner4,partnertype4,partner5,partnertype5,partner6,partnertype6,h_reach,h_target_total,h_reach_total,pin_total,pop_total
5,2016,12,12,Abyan,women,0,0,200,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,10,2142,107,427200,534000
11,2016,12,12,Abyan,men,0,0,200,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,95,2142,107,427200,534000
17,2016,12,12,Abyan,girls,0,0,200,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,0,2142,107,427200,534000
23,2016,12,12,Abyan,boys,0,0,200,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,2,2142,107,427200,534000
1,2016,12,12,Abyan,women,10,107,2142,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,UNDP,UN,AMIDEAST,INGO,,,,,,,,,10,2142,107,427200,534000
7,2016,12,12,Abyan,men,95,107,2142,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,UNDP,UN,AMIDEAST,INGO,,,,,,,,,95,2142,107,427200,534000
13,2016,12,12,Abyan,girls,0,107,2142,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,UNDP,UN,AMIDEAST,INGO,,,,,,,,,0,2142,107,427200,534000
19,2016,12,12,Abyan,boys,2,107,2142,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,UNDP,UN,AMIDEAST,INGO,,,,,,,,,2,2142,107,427200,534000
6,2016,12,12,Abyan,women,20,44,719,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,,,10,2142,107,427200,534000
12,2016,12,12,Abyan,men,24,44,719,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,,,95,2142,107,427200,534000
18,2016,12,12,Abyan,girls,0,44,719,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,,,0,2142,107,427200,534000
24,2016,12,12,Abyan,boys,0,44,719,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,,,2,2142,107,427200,534000
3,2016,12,12,Abyan,women,0,0,159,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,10,2142,107,427200,534000
9,2016,12,12,Abyan,men,0,0,159,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,95,2142,107,427200,534000
15,2016,12,12,Abyan,girls,0,0,159,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,0,2142,107,427200,534000
21,2016,12,12,Abyan,boys,0,0,159,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,2,2142,107,427200,534000
2,2016,12,12,Abyan,women,0,0,1001,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,10,2142,107,427200,534000
8,2016,12,12,Abyan,men,0,0,1001,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,95,2142,107,427200,534000
14,2016,12,12,Abyan,girls,0,0,1001,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,0,2142,107,427200,534000
20,2016,12,12,Abyan,boys,0,0,1001,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,2,2142,107,427200,534000
